Date,Open,High,Low,Close,Adj Close,Volume
2023-10-17,4.750000,5.165000,4.680000,5.050000,5.050000,706400
2023-10-18,5.060000,5.250000,4.870000,5.050000,5.050000,534800
2023-10-19,5.020000,5.040000,4.610000,4.990000,4.990000,755000
2023-10-20,4.940000,5.000000,4.640000,4.650000,4.650000,411100
2023-10-23,4.630000,4.900000,4.170000,4.610000,4.610000,415900
2023-10-24,4.640000,5.100000,4.630000,4.810000,4.810000,542800
2023-10-25,4.720000,4.750000,4.510000,4.610000,4.610000,290800
2023-10-26,4.660000,4.660000,4.260000,4.370000,4.370000,381100
2023-10-27,4.390000,4.467000,4.270000,4.310000,4.310000,145700
2023-10-30,4.500000,5.100000,4.500000,4.580000,4.580000,717500
2023-10-31,4.680000,5.050000,4.650000,4.740000,4.740000,385200
2023-11-01,4.750000,4.760000,4.420000,4.610000,4.610000,290300
2023-11-02,4.710000,5.000000,4.590000,4.850000,4.850000,352700
2023-11-03,4.950000,5.160000,4.740000,4.850000,4.850000,311300
2023-11-06,4.970000,5.080000,4.750000,4.860000,4.860000,378600
2023-11-07,4.810000,5.000000,4.620000,4.650000,4.650000,485800
2023-11-08,4.630000,4.700000,4.490000,4.580000,4.580000,330000
2023-11-09,4.710000,5.030000,4.445000,4.610000,4.610000,559500
2023-11-10,4.600000,4.630000,4.240000,4.520000,4.520000,390000
2023-11-13,4.460000,4.480000,4.290000,4.390000,4.390000,258300
2023-11-14,4.530000,4.740000,4.480000,4.590000,4.590000,387500
2023-11-15,4.650000,5.050000,4.650000,4.900000,4.900000,468200
2023-11-16,4.960000,4.970000,4.660000,4.860000,4.860000,369200
2023-11-17,4.820000,4.989000,4.790000,4.930000,4.930000,402700
2023-11-20,4.880000,4.930000,4.725000,4.880000,4.880000,280000
2023-11-21,4.750000,4.830000,4.650000,4.710000,4.710000,372900
2023-11-22,4.790000,4.790000,4.690000,4.705000,4.705000,197300
2023-11-24,4.670000,4.930000,4.670000,4.810000,4.810000,247300
2023-11-27,4.800000,4.810000,4.615000,4.670000,4.670000,460900
2023-11-28,4.610000,4.710000,4.320000,4.500000,4.500000,418100
2023-11-29,4.660000,4.780000,4.320000,4.370000,4.370000,418000
2023-11-30,4.430000,4.880000,4.410000,4.440000,4.440000,760600
2023-12-01,4.500000,4.709000,4.400000,4.700000,4.700000,464600
2023-12-04,4.660000,4.850000,4.660000,4.750000,4.750000,380000
2023-12-05,4.700000,4.730000,4.490000,4.530000,4.530000,511600
2023-12-06,4.530000,4.631000,4.330000,4.380000,4.380000,430300
2023-12-07,4.420000,4.555000,4.400000,4.530000,4.530000,243700
2023-12-08,4.530000,4.610000,4.511000,4.550000,4.550000,178700
2023-12-11,4.540000,4.590000,4.450000,4.520000,4.520000,288900
2023-12-12,4.450000,4.600000,4.350000,4.590000,4.590000,367600
2023-12-13,4.560000,4.660000,4.400000,4.620000,4.620000,629800
2023-12-14,4.700000,5.260000,4.665000,5.140000,5.140000,1106700
2023-12-15,5.200000,5.380000,4.870000,4.920000,4.920000,690600
2023-12-18,4.930000,5.041000,4.800000,4.890000,4.890000,481200
2023-12-19,4.860000,5.590000,4.860000,5.505000,5.505000,1086400
2023-12-20,5.440000,5.445000,5.010000,5.030000,5.030000,763300
2023-12-21,5.110000,5.390000,5.080000,5.370000,5.370000,453800
2023-12-22,5.340000,5.590000,5.271000,5.450000,5.450000,406000
2023-12-26,5.510000,5.920000,5.470000,5.870000,5.870000,995100
2023-12-27,5.880000,6.020000,5.670000,5.900000,5.900000,774400
2023-12-28,5.840000,5.950000,5.480000,5.530000,5.530000,654200
2023-12-29,5.490000,5.565000,5.180000,5.240000,5.240000,740900
2024-01-02,5.140000,5.210000,4.770000,4.780000,4.780000,655100
2024-01-03,4.770000,4.800000,4.520000,4.530000,4.530000,673200
2024-01-04,4.520000,4.750000,4.520000,4.680000,4.680000,440100
2024-01-05,4.630000,4.760000,4.560000,4.665000,4.665000,414600
2024-01-08,4.660000,4.700000,4.410000,4.575000,4.575000,395400
2024-01-09,4.540000,4.550000,4.415000,4.450000,4.450000,374700
2024-01-10,4.470000,4.470000,4.210000,4.270000,4.270000,529600
2024-01-11,4.250000,4.370000,3.990000,3.995000,3.995000,824000
2024-01-12,4.050000,4.095000,3.690000,3.920000,3.920000,1017700
2024-01-16,3.880000,3.900000,3.330000,3.380000,3.380000,1047400
2024-01-17,3.390000,3.390000,3.050000,3.160000,3.160000,835800
2024-01-18,3.230000,3.315000,3.050000,3.090000,3.090000,616400
2024-01-19,3.100000,3.190000,2.970000,3.120000,3.120000,629800
2024-01-22,3.160000,3.530000,3.140000,3.295000,3.295000,658700
2024-01-23,3.370000,3.550000,3.300000,3.510000,3.510000,625000
2024-01-24,3.580000,3.640000,3.320000,3.330000,3.330000,456500
2024-01-25,3.400000,3.460000,3.225000,3.455000,3.455000,392100
2024-01-26,3.490000,3.550000,3.430000,3.470000,3.470000,242600
