Date,Open,High,Low,Close,Adj Close,Volume
2023-04-27,2.030000,2.165000,2.030000,2.160000,2.160000,325400
2023-04-28,2.170000,2.240000,2.100000,2.220000,2.220000,249800
2023-05-01,2.230000,2.230000,2.030000,2.070000,2.070000,334500
2023-05-02,2.050000,2.105000,2.010000,2.070000,2.070000,230300
2023-05-03,2.060000,2.240000,2.030000,2.170000,2.170000,405700
2023-05-04,1.780000,1.800000,1.160000,1.750000,1.750000,4167000
2023-05-05,1.690000,1.990000,1.650000,1.870000,1.870000,1391200
2023-05-08,1.940000,2.350000,1.910000,2.270000,2.270000,2969600
2023-05-09,2.280000,2.300000,1.900000,1.930000,1.930000,1221700
2023-05-10,1.990000,1.990000,1.700000,1.730000,1.730000,886200
2023-05-11,1.730000,1.780000,1.610000,1.770000,1.770000,604300
2023-05-12,1.780000,1.790000,1.680000,1.790000,1.790000,424900
2023-05-15,1.770000,1.900000,1.690000,1.890000,1.890000,719400
2023-05-16,1.820000,1.920000,1.800000,1.880000,1.880000,382600
2023-05-17,1.890000,2.130000,1.860000,2.080000,2.080000,715700
2023-05-18,2.150000,2.560000,2.120000,2.440000,2.440000,1707400
2023-05-19,2.590000,3.730000,2.530000,3.220000,3.220000,8916800
2023-05-22,3.160000,4.380000,2.970000,4.350000,4.350000,4137500
2023-05-23,4.230000,4.890000,3.330000,4.260000,4.260000,3426100
2023-05-24,4.200000,4.310000,3.600000,4.130000,4.130000,1495500
2023-05-25,4.310000,4.800000,4.001000,4.230000,4.230000,1894000
2023-05-26,4.210000,4.634000,3.970000,4.170000,4.170000,1199200
2023-05-30,4.250000,4.605000,4.180000,4.370000,4.370000,886100
2023-05-31,4.510000,4.830000,4.310000,4.770000,4.770000,1781400
2023-06-01,4.770000,5.320000,4.640000,5.200000,5.200000,1503800
2023-06-02,5.340000,5.350000,4.740000,4.920000,4.920000,1074100
2023-06-05,5.050000,5.790000,5.000000,5.760000,5.760000,1660500
2023-06-06,5.700000,6.960000,5.630000,6.950000,6.950000,2593600
2023-06-07,7.000000,7.470000,5.010000,5.710000,5.710000,3871900
2023-06-08,5.700000,6.275000,5.220000,6.020000,6.020000,1711100
2023-06-09,6.150000,6.710000,6.030000,6.630000,6.630000,1459300
2023-06-12,6.800000,7.950000,6.250000,7.680000,7.680000,1970300
2023-06-13,7.530000,7.786000,6.632000,6.930000,6.930000,1552600
2023-06-14,7.000000,7.370000,6.640000,6.840000,6.840000,796700
2023-06-15,6.660000,6.920000,6.530000,6.870000,6.870000,776700
2023-06-16,6.940000,6.940000,6.140000,6.420000,6.420000,1010100
2023-06-20,6.210000,6.400000,5.710000,6.350000,6.350000,903200
2023-06-21,6.280000,6.440000,6.000000,6.260000,6.260000,530700
2023-06-22,6.140000,6.310000,6.000000,6.080000,6.080000,465900
2023-06-23,5.900000,6.110000,5.560000,5.610000,5.610000,4624300
2023-06-26,5.530000,6.240000,5.530000,5.730000,5.730000,760000
2023-06-27,5.820000,6.138000,5.630000,5.880000,5.880000,599600
2023-06-28,5.820000,6.850000,5.810000,6.500000,6.500000,919000
2023-06-29,6.515000,7.110000,6.515000,7.080000,7.080000,1061700
2023-06-30,7.250000,7.351000,7.120000,7.330000,7.330000,1380200
2023-07-03,7.370000,7.610000,7.120000,7.290000,7.290000,402700
2023-07-05,7.200000,7.580000,7.050000,7.050000,7.050000,470300
2023-07-06,6.870000,7.200000,6.590000,6.990000,6.990000,506700
2023-07-07,7.290000,7.698000,7.175000,7.580000,7.580000,551700
2023-07-10,7.600000,7.920000,7.580000,7.910000,7.910000,521700
2023-07-11,7.970000,8.120000,7.770000,8.050000,8.050000,582400
2023-07-12,8.200000,8.870000,8.010000,8.700000,8.700000,1190600
2023-07-13,8.810000,8.990000,8.020000,8.150000,8.150000,729900
2023-07-14,8.080000,8.175000,7.130000,7.220000,7.220000,963100
2023-07-17,7.090000,8.140000,7.030000,8.020000,8.020000,841100
2023-07-18,8.200000,8.850000,8.044000,8.220000,8.220000,996100
2023-07-19,8.310000,8.470000,7.360000,7.470000,7.470000,755300
2023-07-20,7.470000,7.940000,7.470000,7.700000,7.700000,368100
2023-07-21,7.710000,7.710000,7.110000,7.430000,7.430000,403800
2023-07-24,7.400000,7.510000,7.140000,7.510000,7.510000,291900
2023-07-25,7.500000,7.620000,7.300000,7.350000,7.350000,212200
2023-07-26,7.220000,7.410000,7.110000,7.260000,7.260000,392300
2023-07-27,7.360000,7.410000,6.480000,6.640000,6.640000,641900
2023-07-28,6.750000,7.170000,6.490000,6.865000,6.865000,559200
2023-07-31,6.860000,7.610000,6.830000,7.380000,7.380000,418200
2023-08-01,7.290000,7.510000,7.010000,7.070000,7.070000,427100
2023-08-02,7.010000,7.052000,6.510000,6.805000,6.805000,524100
2023-08-03,6.070000,7.670000,6.020000,7.530000,7.530000,924100
2023-08-04,7.510000,7.600000,7.290000,7.460000,7.460000,311100
2023-08-07,7.380000,7.820000,6.700000,6.870000,6.870000,791400
2023-08-08,6.860000,7.200000,6.790000,7.130000,7.130000,366400
2023-08-09,7.120000,7.255000,6.800000,6.990000,6.990000,467400
2023-08-10,6.990000,7.140000,6.820000,6.850000,6.850000,259500
2023-08-11,6.840000,7.020000,6.760000,6.870000,6.870000,249800
2023-08-14,6.850000,6.900000,6.600000,6.640000,6.640000,285200
2023-08-15,6.550000,6.680000,6.110000,6.160000,6.160000,532100
2023-08-16,6.540000,6.650000,5.700000,5.800000,5.800000,850600
2023-08-17,5.910000,6.050000,5.630000,5.670000,5.670000,533600
2023-08-18,5.580000,5.680000,5.160000,5.240000,5.240000,731700
2023-08-21,5.250000,5.398000,5.140000,5.200000,5.200000,448100
2023-08-22,5.290000,5.560000,4.990000,5.180000,5.180000,660100
2023-08-23,5.160000,5.350000,5.090000,5.190000,5.190000,485300
2023-08-24,5.140000,5.140000,4.700000,4.780000,4.780000,572500
2023-08-25,4.850000,5.330000,4.840000,4.980000,4.980000,537600
2023-08-28,5.050000,5.050000,4.710000,4.940000,4.940000,424600
2023-08-29,4.940000,5.380000,4.850000,5.300000,5.300000,430200
2023-08-30,5.230000,5.550000,5.130000,5.390000,5.390000,396500
2023-08-31,5.440000,5.500000,4.980000,5.010000,5.010000,460200
2023-09-01,5.070000,5.200000,4.840000,4.880000,4.880000,399500
2023-09-05,4.840000,5.010000,4.780000,4.890000,4.890000,304300
2023-09-06,5.000000,5.150000,4.810000,5.000000,5.000000,672400
2023-09-07,4.900000,5.050000,4.750000,4.960000,4.960000,316200
2023-09-08,4.920000,4.930000,4.650000,4.815000,4.815000,383300
2023-09-11,5.000000,6.060000,5.000000,5.430000,5.430000,2752700
2023-09-12,5.330000,5.850000,5.310000,5.570000,5.570000,632700
2023-09-13,5.620000,5.850000,5.325000,5.470000,5.470000,538100
2023-09-14,5.570000,5.590000,5.125000,5.160000,5.160000,593500
2023-09-15,5.220000,5.220000,4.930000,5.040000,5.040000,623200
2023-09-18,4.940000,4.960000,4.690000,4.750000,4.750000,484300
2023-09-19,4.770000,4.980000,4.710000,4.950000,4.950000,399600
2023-09-20,4.970000,5.080000,4.760000,4.770000,4.770000,346100
2023-09-21,4.720000,4.750000,4.210000,4.280000,4.280000,833500
2023-09-22,4.330000,4.560000,4.120000,4.240000,4.240000,443600
2023-09-25,4.170000,4.680000,4.050000,4.470000,4.470000,871300
2023-09-26,4.430000,4.670000,4.370000,4.400000,4.400000,522800
2023-09-27,4.510000,4.545000,4.170000,4.190000,4.190000,522000
2023-09-28,4.220000,4.220000,3.970000,4.085000,4.085000,568400
2023-09-29,4.120000,4.235000,4.045000,4.150000,4.150000,1172100
2023-10-02,4.400000,4.900000,4.220000,4.320000,4.320000,1215200
2023-10-03,4.230000,4.270000,3.910000,4.010000,4.010000,759500
2023-10-04,4.000000,4.070000,3.840000,4.010000,4.010000,552300
2023-10-05,4.020000,4.020000,3.770000,3.970000,3.970000,352900
2023-10-06,3.900000,4.281000,3.865000,4.140000,4.140000,339100
2023-10-09,4.090000,4.780000,4.090000,4.750000,4.750000,700200
2023-10-10,4.750000,4.959000,4.400000,4.470000,4.470000,652400
2023-10-11,4.500000,4.729000,4.442000,4.530000,4.530000,639100
2023-10-12,4.580000,4.646000,4.190000,4.290000,4.290000,425300
2023-10-13,4.310000,4.600000,4.200000,4.480000,4.480000,450300
2023-10-16,4.460000,4.930000,4.430000,4.830000,4.830000,459800
